ticker,currency,asset_class,fund_benchmark,fund_category,fund_dividend_policy,fund_domicile,fund_global_category,asset_type,category_type,category_subdetail,issuer,market_cap,ongoing_charge_tercile,super_region,region_group
BBIN.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,JP Morgan,4757859077.0,1.0,Global,Global Ex-US
BBJP.BT1,USD,EQUITY,,Japan,DISTRIBUTION,US,Equity Japan,Equity,Region,Japan,JP Morgan,11012921922.0,1.0,Asia,East Asia
BBLU.BT1,USD,EQUITY,S&P 500 TR,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Empowered Funds,233450870.0,1.0,Americas,North America
BBMC.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Sm&Mid Cap,Equity,Region,US Sm&Mid Cap,JP Morgan,1809289187.0,1.0,Americas,North America
BBSC.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Sm&Mid Cap,Equity,Region,US Sm&Mid Cap,JP Morgan,478635424.0,1.0,Americas,North America
BBUS.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,JP Morgan,4235678495.0,1.0,Americas,North America
BCAT.BT1,USD,EQUITY,,Global,DISTRIBUTION,US,Equity Global,Equity,Region,Global,BlackRock,1721433307.0,3.0,Global,Global
BCHP.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Principal Global,89788458.0,2.0,Americas,North America
BCIL.BT1,USD,EQUITY,,Global Ex US,DISTRIBUTION,US,Equity Global ex US,Equity,Region,Global ex US,Exchange Traded Concepts LLC,26971880.0,,Global,Global Ex-US
BCUS.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Exchange Traded Concepts LLC,81234700.0,,Americas,North America
BDIV.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,Advisors Asset Management Inc,2136939.0,,Americas,North America
BDVG.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US Income,Equity,Region,US Income,iM Global Partner Fund Management LLC,8855405.0,2.0,Americas,North America
BEEX.BT1,USD,EQUITY,S&P 500 TR,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Tidal Invstmnts,162624614.0,3.0,Americas,North America
BEEZ.BT1,USD,EQUITY,,United States of America,DISTRIBUTION,US,Equity US,Equity,Region,US,Empowered Funds,7178449.0,2.0,Americas,North America
